,name,user_ratings_total,rating,latitude,longitude
0,Athens Financial Services,39,4.9,37.9998233,23.7188926
1,PS Accountant - Athens,2,5.0,37.9656669,23.7448743
2,TECHNOLOGISTIKI C. ALEXIOU M. Ltd. - ATHENS,0,0.0,37.9882667,23.7262268
3,Actnet Tax Solutions S.A,2,5.0,37.9779176,23.7504271
4,Voutsinas Panagiotis - Accountant - ATHENS,0,0.0,37.9915671,23.716036
5,Institute of Certified Public Accountants of Greece,4,4.5,37.9864852,23.730195
7,Φοροεξέλιξη - Λογιστικό Γραφείο - Αθήνα,0,0.0,37.98797709999999,23.7470243
8,ACCOUNTING - TAX,0,0.0,37.997229,23.733935
9,The Accountant S.A.S,0,0.0,38.0054311,23.7823983
10,ACCOUNTING OFFICE - KONTOMOURTOS (Athens store),2,5.0,37.93463690000001,23.7480936
11,ACCO Aggelos Chalaris Accounting Office,0,0.0,37.9539393,23.7258486
12,accounting Psarrianos,0,0.0,38.005952,23.730253
13,ACCOUNTING SERVICES - SOLUTIONS A.X.A. P.C.,2,5.0,37.9807716,23.7322834
14,QAS Certified Public Accountants Ltd,2,5.0,37.9781905,23.7349753
15,I.R.S. S.A. ACCOUNTING FIRM,0,0.0,37.9832348,23.7373617
16,B & B Accounting Asocciates,3,3.7,38.0145099,23.7353377
17,Mazars Certified Public Accountants Business Advisors,17,4.9,37.9417701,23.700568
23,accounting office,0,0.0,37.9967946,23.744844
29,Hannousis Accounting Center,2,5.0,37.99036419999999,23.7250325
30,AS Accounting & Tax Services ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,2,5.0,37.97278,23.7656767
33,GKC ACCOUNTING,0,0.0,37.984269,23.7327589
34,Fonazakis Business Consulting & Accounting,0,0.0,37.9926816,23.7313576
37,AVT Accounting Ι.Κ.Ε.,0,0.0,37.9835536,23.7294082
114,Λογιστικό Γραφείο TAXFIX Αναστασάς Απόστολος,10,5.0,37.98783299999999,23.7600221
116,N - TAXIS - ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΜΠΙΤΣΙΚΟΣ ΒΑΣΙΛΗΣ - ΑΘΗΝΑ,4,4.8,37.98327829999999,23.7314944
117,"TS2| Λογιστικό Γραφείο | Γραφεία , Λογιστής | Αθήνα | Οικονομικες τιμες",45,5.0,37.9652975,23.7519621
118,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,13,5.0,38.0040062,23.7370285
119,Accounting - Tax Office Fotios K.. Vlahos,9,5.0,37.966072,23.746182
120,ΦΟΡΟΤΕΧΝΙΚΑ - ΛΟΓΙΣΤΙΚΑ ΓΕΩΡΓΙΟΣ ΣΕΛΕΜΙΔΗΣ,7,4.9,37.9931367,23.7139845
121,Λογιστικό γραφείο,0,0.0,38.0229212,23.7483714
122,ΓΕΩΡΓΟΥΛΟΠΟΥΛΟΥ Ν. ΟΛΓΑ - ΑΝΤΩΝΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ - ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΑΘΗΝΑ,1,5.0,37.9844056,23.7272386
123,Λογιστικό Γραφείο,20,4.1,37.978211,23.726016
125,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΑΘΗΝΑ OIKONOMIKH ΑΘΗΝΩΝ ΚΑΡΑΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ,3,3.7,37.9897544,23.7245434
126,Λογιστικό - Φοροτεχνικό Γραφείο Κωνσταντίνος Χαβιάρας Αθήνα,0,0.0,37.95664319999999,23.7358157
127,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ - ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,0,0.0,37.9940514,23.7174361
129,Λογιστικό Γραφείο Νικολόπουλου,7,5.0,37.9966821,23.7159497
130,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ TAXSERVE,9,5.0,37.9570944,23.7331948
131,Kατσαμπίρης Κωνσταντίνος & Συνεργάτες Φοροτεχνικοί Σύμβουλοι,0,0.0,37.9853472,23.7316959
132,ACCOUNTING-TAX OFFICE KONSTANTINOS KAVVADIAS,7,5.0,37.9625567,23.7450435
133,"ΓΕΡΟΔΗΜΟΥ ΕΛΠΙΔΑ, ΛΟΓΙΣΤΙΚΟ, ΦΟΡΟΤΕΧΝΙΚΟ ΓΡΑΦΕΙΟ, ΑΣΦΑΛΕΙΕΣ",0,0.0,37.98725779999999,23.7624816
150,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΟΙΚΟΝΟΜΙΚΗ ΑΘΗΝΩΝ,0,0.0,37.97763800000001,23.7265386
209,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΒΗΧΟΥ ΕΛΕΝΗ ΕΛΛΗ,0,0.0,37.9818354,23.7631666
212,"ΠΑΝΑΓΑΚΟΥ ΜΑΡΙΑ, ΛΟΓΙΣΤΙΚΟ, ΦΟΡΟΤΕΧΝΙΚΟ ΓΡΑΦΕΙΟ",2,5.0,38.004173,23.7154917
214,Development Cycle MON. Ltd. - Accounting Office,2,5.0,37.9881008,23.728517
219,Λογιστικό Γραφείο Αθήνα,0,0.0,37.9636881,23.7586098
222,Λογιστικό Φοροτεχνικό Γραφείο Άνω Πετράλωνα Αθήνα Αττική - Οικονομολόγος - Συστάσεις Μετατροπές Συγχωνεύσεις Εταιρειών - Τήρηση Βιβλίων Α Β Γ- Δηλώσεις ΦΠΑ - Μισθοδοσία - Κωνσταντίνος Γ. Σάββας,1,5.0,37.968461,23.7094116
223,Λογιστικό,0,0.0,37.9849194,23.7341087
226,"Λογιστικές Υπηρεσίες, Σύμβουλοι Πιστοποιήσεων",0,0.0,37.9874193,23.7644488
228,Λογιστικό Γραφείο Tax Office,6,4.8,38.00792879999999,23.7371276
229,Λογιστικό γραφείο Γεώργιος Πρωτόπαπας,0,0.0,38.01074699999999,23.7209859
230,Tax Patission :: Λογιστικό Φοροτεχνικό Γραφείο,0,0.0,37.9797033,23.7345978
232,Λογιστικό Γραφείο - Βουτσινάς Παναγιώτης,0,0.0,38.0174132,23.7366705
