,name,user_ratings_total,rating,latitude,longitude
0,T.C. Ziraat Bankasi as - Athens Central Branch,2,5.0,37.9757843,23.7337072
1,Piraeus Bank,12,2.8,37.9867056,23.7287957
2,Alpha Bank,43,2.1,37.9807037,23.7312144
3,Hsbc Bank PLC,11,2.9,37.9775093,23.7361347
6,HSBC Bank PLC,5,4.2,37.9909696,23.7708645
7,ALPHA BANK,20,3.6,37.977309,23.7413637
8,Bank of Greece,0,0.0,37.9778416,23.7342083
9,National Bank Of Greece,13,2.5,37.9853202,23.7608461
11,Bank Of Greece,52,3.5,37.9788597,23.7337616
12,"Othonos 8, Athens",0,0.0,37.9748575,23.7348434
13,HSBC,1,5.0,37.9774937,23.7360762
15,EBRD Athens RO,0,0.0,37.9748808,23.7346159
16,National bank of Greece Karatza Hall,2,5.0,37.9811014,23.7286786
17,"Santaroza 7, Athens",0,0.0,37.9824476,23.7306994
20,Société Générale,17,3.1,48.8268165,2.3307496
21,Agence de Financement des Entreprises,0,0.0,48.8257228,2.3266264
22,BNP Paribas,9,1.7,48.8260037,2.3414932
24,Banque Populaire Rives de Paris,5,1.2,48.8327787,2.3244477
27,LCL Banque Privée,0,0.0,48.8275908,2.3257437
28,BNP Paribas - Paris General Leclerc 14e,16,2.1,48.829505,2.32869
29,LCL Banque et assurance,3,1.0,48.8234585,2.325374
30,Caisse d'Epargne Paris Porte d'Orleans,12,1.7,48.8257191,2.3266342
31,Caisse d'Epargne Paris Auguste Blanqui,22,1.9,48.83106859999999,2.3424866
35,Crédit Agricole de Paris Général Leclerc,34,2.9,48.8276973,2.3271168
36,Crédit Agricole de Paris Denfert-Rochereau,23,3.0,48.8350735,2.3318423
38,Caisse d'Epargne Paris General Leclerc,31,1.9,48.8303952,2.3286841
133,Τράπεζα Πειραιώς,4,2.8,38.0013,23.7375
135,National Bank of Greece,9,4.3,37.9803578,23.7316374
136,Εθνική Τράπεζα της Ελλάδος,13,2.4,37.98502209999999,23.7204597
139,Pancreta Bank,4,4.8,37.9749077,23.7344515
205,Attica Bank S.A.,6,4.0,38.0155193,23.7351877
217,Δίκτυο Νέο Ταχυδρομικό Ταμιευτήριο Eurobank,7,3.1,37.9964855,23.7275363
