,name,user_ratings_total,rating,latitude,longitude
0,Βασίλης Κυριαζής Ασφάλειες Ζωής Υγείας-Αυτοκινήτου Ασφαλιστικός Σύμβουλος ΕΘΝΙΚΗΣ Ασφαλιστικής Αθήνα,44,5.0,37.9546764,23.7148162
1,Ασφάλειες Skyline Insurance Πρακτορείο Ασφαλειών Αθήνα,9,5.0,37.9841151,23.7164347
2,ΓΚΟΥΤΡΑΣ ΦΙΛΙΠΠΟΣ ΑΣΦΑΛΕΙΕΣ,4,5.0,37.9942861,23.7671449
3,KARAVIAS UNDERWRITING AGENCY S.A.,21,4.9,37.97964899999999,23.728895
4,KATOIKOS KONSTANTINOS TOU GEORGIOU,0,0.0,38.0275822,23.7478243
5,YourSafeBox,0,0.0,37.9908659,23.7435181
6,Insurance Agent - Xymitidou Joy,1,5.0,38.0113347,23.7338006
7,City Brokers,0,0.0,37.9825472,23.7613458
8,ΓΙΑΝΝΗΣ ΚΑΚΑΒΙΚΟΣ ΑΣΦΑΛΕΙΕΣ,0,0.0,37.9947282,23.7740673
9,ΑΣΦΑΛΙΣΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ ΔΗΜΗΤΡΙΟΣ ΚΩΣΤΟΠΟΥΛΟΣ,0,0.0,37.9595894,23.7254145
10,"""ΔΕΣΜΕΥΣΗ"" ΑΣΦΑΛΕΙΕΣ Θ. ΜΠΑΛΑΤΣΟΥΡΑΣ",2,5.0,37.962292,23.725186
11,ΑΣΦΑΛΕΙΕΣ ODYMAN,0,0.0,37.9927267,23.7661057
12,"Γεωργίου Νικόλαος, Ασφαλιστής Άνω Πετράλωνα",0,0.0,37.96722889999999,23.7096336
13,Μιχαηλίδης Στέλιος Ασφαλιστικός Επενδυτικός Σύμβουλος,0,0.0,37.9722607,23.7500868
14,PK INSURANCE,0,0.0,37.975955,23.732275
15,Chronopoulos Konstantinos,1,5.0,37.9940609,23.7174377
16,ΞΗΡΟΓΙΑΝΝΟΠΟΥΛΟΣ Insurance Brokers,0,0.0,37.9787784,23.7363379
17,TZANNIS INSURANCE,4,4.5,37.9681236,23.7529001
18,ΠΛΥΤΑΡΙΑΣ ΑΝΔΡΕΑΣ,0,0.0,37.9832189,23.7287218
19,"Metaxas, F., Insurance Agencies S.A.",1,1.0,37.9798688,23.731067
32,"ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ, ΑΣΦΑΛΙΣΤΙΚΟΣ ΣΥΜΒΟΥΛΟΣ",0,0.0,37.9650405,23.7292101
33,insuranceportal.online,0,0.0,37.995827,23.772126
38,ΑΜΠΑΤΖΟΓΛΟΥ ΑΝΑΣΤΑΣΙΟΣ,0,0.0,37.9886015,23.7052604
39,PK insurance,0,0.0,37.975955,23.7322746
80,SAEMENS - ΤΣΙΦΤΣΗΣ Σ. ΚΑΙ ΣΙΑ ΕΕ - ΜΕΣΙΤΕΣ ΑΣΦΑΛΙΣΕΩΝ - ΑΘΗΝΑ,1,5.0,37.9896137,23.729522
81,Insurance,0,0.0,38.0020593,23.7313511
82,My-Ασφάλιση,1,5.0,38.0007078,23.7309277
83,ΑΣΦΑΛΙΣΗ ΕΡΓΟΥ,0,0.0,37.9769127,23.7468045
