,name,user_ratings_total,rating,latitude,longitude
0,"Valmas Associates - Greek Law Firm, Greek Lawyers",26,4.6,37.9821053,23.7343658
1,Pantazis & Associates Law Firm,31,4.9,37.9898117,23.7444668
2,KAPAKOS EMMANUEL - LAWYER - ATHENS,1,5.0,37.9839754,23.7309949
3,ASYLUM IN GREECE Lawyers,37,4.4,37.9956571,23.732578
4,Athens Advocates Δικηγόροι Ποινικολόγοι,0,0.0,37.9873762,23.7525449
5,SINOS CHARALAMPOS - LAWYER - ATHENS,4,4.8,37.9836105,23.7333743
6,Chrisoula Pratikaki - Attorney - Athens,11,5.0,37.9899444,23.7442455
7,Nasioulas Christina - Attorney - Athens,1,5.0,37.97892239999999,23.7459834
8,Mandrapilias Dimitrios - Attorney - Athens,0,0.0,37.9834864,23.7313166
9,Stamatelatos George - Attorney - Athens,2,1.0,37.9886533,23.7517591
10,AP&Generalis Law Firm,12,4.7,37.978261,23.731785
11,POULOPOULOS JOHN - LAWYER - ATHENS,1,4.0,37.9767616,23.7467826
12,Δικηγόρος παρ' Αρείω Πάγω Γεώργιος Σωτηρόπουλος,0,0.0,37.98939379999999,23.7356122
13,Greece Immigration,0,0.0,37.9772331,23.7566163
14,Athanasopoulos Konstantinos - Law Offices - Athens,0,0.0,37.985894,23.735453
15,Paleologos and Associates,0,0.0,37.9830068,23.732979
16,Golden Visa Lawyer,0,0.0,37.9786268,23.7365533
17,KERAMEUS & PARTNERS LAW FIRM,0,0.0,37.9769365,23.738971
18,"Karkazis-Dimopoulou, German speaking Law Office Athens | Rechtsanwalt in Griechenland",0,0.0,37.98979110000001,23.7336253
19,Lanara & Partners,5,4.8,37.9794725,23.7351394
27,Economakis & Partners Attorneys-at-Law,2,5.0,37.9785913,23.73564
35,Attorney at Law Konstantinos Kormas,1,5.0,37.9835526,23.7312089
36,KPSY Law Office,0,0.0,37.984159,23.731421
37,Military Lawyer B.Kontos,11,4.2,37.986177,23.730739
38,Attorney ANDREAS,0,0.0,37.9800625,23.736974
39,My Lawyers | Νομικοί Σύμβουλοι,0,0.0,37.9835224,23.7293523
120,ΔΙΚΗΓΟΡΟΣ ΦΑΣΛΗΣ ΑΘΗΝΑ,32,4.9,37.9882377,23.729207
121,ΜΑΣΤΟΡΑΚΗ ΜΑΡΙΑ Δικηγορικό Γραφείο Αθήνα Δικηγόρος Παρ' Αρείω Πάγω - Εργατολόγος Αστικολόγος,22,3.2,37.9978486,23.7445531
122,Lawyer,3,3.7,37.9931286,23.7524169
123,Law Firm,6,5.0,38.00066350000001,23.7336478
125,"Law Department Δικηγόρος Αθήνα, Δικηγορικό Γραφείο Αθήνα",8,4.3,37.982266,23.735801
128,Lawyer Olga Dova,79,4.6,37.981779,23.734568
130,Law Office of Alexis Constantine,3,4.0,37.9856382,23.7619844
134,ΔΙΚΗΓΟΡΙΚΟ ΓΡΑΦΕΙΟ-ΔΙΚΗΓΟΡΟΣ-ΚΑΤΣΑΒΟΣ ΗΛΙΑΣ & ΒΑΣΙΛΗΣ & ΝΙΚΟΣ-Law Office-ΔΙΚΗΓΟΡΟΙ ΚΟΛΩΝΑΚΙ ΑΘΗΝΑ,3,5.0,37.980264,23.7381011
135,ΠΑΝΟΣ ΚΑΛΑΝΤΖΑΚΟΣ,0,0.0,37.9735528,23.7335061
136,Lawyer - Ioannis Thanasoulias,2,5.0,37.980288,23.756367
137,ΔΙΚΗΓΟΡΙΚΟ ΓΡΑΦΕΙΟ ΙΩΑΝΝΗ ΜΑΡΑΓΚΟΥ,0,0.0,37.98989880000001,23.7413186
138,Βασιλόπουλος Δικηγορικό Γραφείο,2,3.0,37.9836514,23.7319903
139,Δικηγορικό Γραφείο Νικολάου Κονδύλη & Συνεργατών - N. Kondylis & Partners Law Office,0,0.0,37.9939368,23.7632333
153,Λουκάκου Παναγιώτα Δικηγόρος - Διαπιστευμένη Διαμεσολαβήτρια,1,5.0,37.983219,23.728722
157,ΔΙΚΗΓΟΡΟΣ [αστικά -ποινικά - διοικητικά],7,4.4,37.98553,23.7270046
159,Δικηγορικό Γραφείο Παναγιώτη Κ. Λιακόπουλου,6,4.2,37.9844932,23.7264133
200,AT LAW ATHENS FIRM,5,4.0,37.9842069,23.7360665
201,Athens University Law School,39,4.2,37.9808156,23.7358099
202,Laboratory of Law and Informatics,1,5.0,37.98006360000001,23.735392
203,Koutalidis Law Firm,2,5.0,37.9776613,23.7368352
205,KLC Law Firm,10,4.8,37.9765443,23.7424754
206,Δίκαιο Ακινήτων,0,0.0,37.9784059,23.7322325
207,Δικηγόρος Αθηνών Παρ΄ Αρείω Πάγω- Διαμεσολαβήτρια Στεφανία Σουλή,24,5.0,37.9834149,23.7299598
