,name,user_ratings_total,rating,latitude,longitude
0,Mnt Accounting And Consulting,0,0.0,38.244606,21.7279255
1,Λογιστικό Γραφείο Μπαγουλής Γεώργιος,0,0.0,38.2466395,21.734574
2,Π.ΚΑΚΟΚΕΦΑΛΟΣ-Γ.ΜΕΤΣΕΚΑΤΟΣ Ο.Ε,1,5.0,38.2451757,21.7317731
3,Λογιστική Συμβουλευτική ΟΕ,16,5.0,38.2421824,21.7335382
4,Accounting Office Ch.Konida,3,5.0,38.260219,21.749762
5,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ | ΘΩΪΔΗΣ ΧΑΡΑΛΑΜΠΟΣ,0,0.0,38.2460781,21.7328088
6,ΒΑΡΔΑΣ ΛΟΓΙΣΤΙΚΑ ΚΑΙ ΦΟΡΟΛΟΓΙΚΑ - ΣΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ Α.Ε,0,0.0,38.2467158,21.734504
7,ΓΡΥΛΗ ΑΛΕΞΑΝΔΡΑ,0,0.0,38.2444208,21.7345568
8,Λογιστικό Γραφείο Πετρόπουλος Γιώργος,4,5.0,38.2686876,21.7490005
9,Κατσάπη Παναγιώτα,0,0.0,38.240869,21.7433851
10,CNV Sole Shareholder Co. Ltd,0,0.0,38.2467031,21.7364547
11,"Usolutions Συμβουλευτική, Mentoring, Marketing, Λογιστικά, Φοροτεχνικά, Υπηρεσίες Συνταξιοδότησης",2,5.0,38.2461207,21.7304726
12,ΝΙΚΟΛΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ - ΛΟΓΙΣΤΙΚΑ - ΦΟΡΟΤΕΧΝΙΚΑ - ΜΙΣΘΟΔΟΤΙΚΑ - ΠΡΟΓΡΑΜΜΑΤΑ ΕΣΠΑ/ ΟΑΕΔ,1,5.0,38.2464549,21.732386
13,Koliofotis Ioannis,0,0.0,38.2768727,21.7644451
14,ΔΙΑΜΑΝΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,2,5.0,38.2408616,21.7287593
15,ΖΑΧΑΡΑΤΟΣ ΦΩΤΙΟΣ ΑΝΔΡΕΑΣ,1,5.0,38.2495593,21.7399333
16,Spanos Leonidas,3,5.0,38.2275994,21.7419748
17,Apostolopoulos Dionisia,1,5.0,38.2624864,21.7476776
18,Ζαχαριάς Σταύρος,0,0.0,38.2419245,21.7326711
19,Φοροτεχνικό Γραφείο Νίκας Απόστολος,0,0.0,38.2460781,21.7328088
39,RAPTI Boutri Vasiliki Accounting Tax office,5,4.2,38.236658,21.7258934
125,Thoidis Polychronis,1,4.0,38.2461471,21.7328434
127,ΚΟΡΤΙΝΑΣ ΑΘΑΝΑΣΙΟΣ ΦΟΡΟΛΟΓΙΚΟ ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,0,0.0,38.260745,21.742738
128,ΛΟΓΙΣΤΗΣ ΠΑΤΡΑ / ΕΠΙΔΟΤΗΣΕΙΣ - ΠΡΟΓΡΑΜΜΑΤΑ ΕΣΠΑ,0,0.0,38.2479852,21.7343435
133,Λογιστικό γραφείο Δημόπουλος Στάθης,0,0.0,38.2282981,21.7392052
135,"Καριώτογλου Πλάτων - Λογιστής, Φοροτεχνικός",0,0.0,38.2460897,21.7336488
136,TaxPlan Ευσταθίου Απόστολος,0,0.0,38.2438209,21.7284637
138,Accounting Office Christos Katopodis,2,5.0,38.2587818,21.74193
155,ΘΕΟΔΩΡΑΚΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ,1,5.0,38.2217782,21.7419834
158,H.J. Christopoulos,2,5.0,38.244923,21.731499
202,Taxgroup.gr - Λογιστικό Γραφείο,7,5.0,38.244516,21.735343
203,ΙΩΑΝΝΑ Α. ΤΣΟΥΚΑΛΑ Λογιστικό Γραφείο,0,0.0,38.2618555,21.7483335
204,NEW ADVICE PATRAS ΛΟΓΙΣΤΙΚΟ - ΜΕΣΙΤΙΚΟ - ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ,3,5.0,38.2170065,21.7407464
206,ΒΑΡΔΑΣ ΛΟΓΙΣΤΙΚΑ ΚΑΙ ΦΟΡΟΛΟΓΙΚΑ - ΣΥΜΒΟΥΛΟΙ ΕΠΙΧΕΙΡΗΣΕΩΝ Α.Ε,1,5.0,38.221042,21.7364586
208,Φόρμα | Γιώργος Θεοδ. Παναγόπουλος | Λογιστικό γραφείο,0,0.0,38.243161,21.730836
209,Logistes Forotechnes S.A.,2,5.0,38.2495593,21.7399333
215,BAKOUNIS P.C.,0,0.0,38.2417672,21.7313209
217,University of Patras,27,3.3,38.2198587,21.7466305
220,ΕΛΙΣAΒΕΤ ΜΠΛAΤΣΙΟΥ Λογιστικές Υπηρεσίες,0,0.0,38.2797847,21.7681342
