,name,user_ratings_total,rating,latitude,longitude
0,Agence de Financement des Entreprises,0,0.0,48.8257228,2.3266264
1,BNP Paribas,9,1.7,48.8260037,2.3414932
2,Société Générale,18,3.2,48.8268165,2.3307496
3,Banque Populaire Rives de Paris,5,1.2,48.8327787,2.3244477
5,Point Nickel,0,0.0,48.8320255,2.3276919
7,Crédit Agricole de Paris Général Leclerc,35,2.9,48.8276973,2.3271168
9,Caisse d'Epargne Paris Auguste Blanqui,22,1.9,48.83106859999999,2.3424866
10,BNP Paribas - Paris Cite Internationale 14e,64,2.6,48.8190373,2.3382219
12,LCL Banque et assurance,3,1.0,48.8234585,2.325374
13,Caisse d'Epargne Paris Porte d'Orleans,13,1.6,48.8257191,2.3266342
16,LCL Banque Privée,0,0.0,48.8275908,2.3257437
17,BNP Paribas - Paris Blanqui 13e,12,2.1,48.8301953,2.3455472
19,BNP Paribas - Paris General Leclerc 14e,16,2.1,48.829505,2.32869
20,Alpha Bank,9,2.0,38.2490331,21.7353102
22,National Bank of Greece,1,4.0,38.2321581,21.7251216
23,Piraeus Bank,5,3.0,38.2439451,21.7316661
25,Eurobank,9,4.7,38.2496828,21.7358789
28,Attica Bank,3,4.3,38.2455396,21.7355302
34,Hellenic Post Bank,2,4.0,38.2468878,21.7379726
36,ATM National Bank of Greece,1,3.0,38.2565587,21.7429012
38,ATM Piraeus Bank,0,0.0,38.2512314,21.7366584
39,Alpha Bank Greece,0,0.0,38.21104649999999,21.7640994
122,ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ,4,2.3,38.2494964,21.7358787
127,Τράπεζα Πειραιώς,2,4.5,38.2458,21.7337
138,National Bank of Greece S.A.,7,3.3,38.2206329,21.7377222
