,name,user_ratings_total,rating,latitude,longitude
0,ANAGNOSTOPOULOS & ASSOCIATES - LAW OFFICE / LEGAL CONSULTANTS,9,4.6,38.244825,21.731908
1,Christos Golfinopoulos - Golfinopoulos Law Office,2,5.0,38.2445166,21.7346971
2,Δικηγορικό Γραφείο | Σκουτέρης Σ.&Αλ. - Σιάρκου Ρ.,16,5.0,38.2436941,21.7347532
3,"Γιώργος Μιχαλόπουλος, δικηγόρος. Giorgos Michalopoulos, lawyer. i-law.gr",1,5.0,38.2449437,21.732564
4,City Law Firm - Δικηγορικό Γραφείο Τάκη Παπαδόπουλου,2,5.0,38.2416307,21.7321815
5,"Βασίλης Σκούρας, Δικηγόρος",0,0.0,38.2426726,21.7319119
6,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΦΙΛΙΠΠΟΣ - ΔΙΚΗΓΟΡΟΣ - ΠΑΤΡΑ,0,0.0,38.2443639,21.7319142
7,Δικηγορικό Γραφείο Ερμή Π. Παπουτσή,0,0.0,38.245866,21.730763
8,Πλακούδας Χρήστος,4,5.0,38.2438732,21.733788
9,Mitropoulou Andriana 'LAWYER',2,4.0,38.2533719,21.7399168
10,Δημήτριος Μπότσαρης,1,5.0,38.2425925,21.7346083
11,Papakostopoulos Law Team,8,5.0,38.2430336,21.7329853
12,"Αθανάσιος Μούλιας - Δικηγόρος, Δικαστικός Γραφολόγος",7,2.7,38.243268,21.7317463
13,ΜΟΥΓΚΟΓΙΑΝΝΗ ΑΘΗΝΑ,0,0.0,38.2438292,21.7316674
14,Δικηγορικό Γραφείο Μαρίας Δημ. Δούλου,8,5.0,38.2455874,21.7334431
15,Πταισματοδικείο Πάτρας,5,2.8,38.2424194,21.7349145
16,Παρασκευοπούλου Δικηγορικό Γραφείο,2,5.0,38.2448873,21.7318907
17,Κατσιγιάννης Βασίλειος,0,0.0,38.2438088,21.7323141
18,PASCHAKIS Law Offices,0,0.0,38.2466304,21.7334799
19,ΣΟΦΙΑ ΝΗΣΙΔΗ,0,0.0,38.245022,21.732585
125,"ΠΗΤΤΑ ΓΕΩΡΓΙΑ, ΔΙΚΗΓΟΡΟΣ",1,5.0,38.2439445,21.7339511
133,"Σοφία Γ. Κολλιοπούλου - Δικηγόρος, Διαπ. Διαμεσολαβήτρια",0,0.0,38.2430299,21.7339886
134,APA Law Office,3,3.7,38.2447812,21.7318976
139,Derekislaw Office,1,5.0,38.2435999,21.7343744
163,ΚΡΕΜΜΥΔΑΣ ΔΙΚΗΓΟΡΟΣ,0,0.0,38.2451121,21.7339658
166,Δικηγορικός Σύλλογος Πατρών,0,0.0,38.2440023,21.7328102
167,University Of Patras,207,4.4,38.28923,21.785369
168,ΣΚΟΥΤΕΡΗΣ ΠΑΝΑΓ,0,0.0,38.2467668,21.7362561
170,Ειρηνοδικείο Πατρών,0,0.0,38.2438105,21.7323162
171,Diakides School,0,0.0,38.2434173,21.7326814
172,ΣΤΑΜΟΣ ΠΑΝΑΓΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ,0,0.0,38.2298032,21.7695387
173,OMEGA SYSTEMS,3,5.0,38.24113500000001,21.7379643
174,ΝΤΖΕΛΒΕ ΜΑΡΙΑ,0,0.0,38.2376224,21.7398225
175,Stollas Music,40,4.6,38.27753,21.763565
176,University of the Peloponnese,2,4.0,38.2195152,21.7468632
177,Hellenic Open University,85,4.7,38.206531,21.767111
178,Vasilopoulos Athanasios,0,0.0,38.2468848,21.7378697
179,Apple,224,4.5,38.2458083,21.7331812
