,name,user_ratings_total,rating,latitude,longitude
0,ΜΥΤΙΛΗΝΟΣ Λογιστικές Υπηρεσίες - Greek Accountant,82,5.0,40.63827819999999,22.9369725
1,PANIDIS PAUL - ACCOUNTING OFFICE - THESSALONIKI,12,5.0,40.634223,22.9438574
2,ΒΤΑ Λογιστικό Γραφείο Θεσσαλονίκη,0,0.0,40.6381403,22.9358733
3,Plus Accounting- Κεχαγιάς Ιωάννης,1,5.0,40.6144424,22.9671633
4,PKF Euroauditing S.A.,0,0.0,40.5954968,22.960491
5,Mazars Certified Public Accountants Business Advisors,5,5.0,40.6367176,22.9381318
6,Karampouzis Consulting,0,0.0,40.6350278,22.9400459
7,Greekaccountant.gr,0,0.0,40.5910473,22.9668533
8,Accounting Tax Services,0,0.0,40.634289,22.9370888
9,ΜΑΥΡΙΔΗΣ ΕΥΑΓΓΕΛΟΣ & ΣΥΝΕΡΓΑΤΕΣ,0,0.0,40.59591,22.9604229
10,Marinidis Ioannis,0,0.0,40.6383204,22.9366979
11,ΑΓΓΕΛΟΥ Δ. - ΤΡΑΧΑΛΙΟΣ Ν. ΟΕ - ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΘΕΣΣΑΛΟΝΙΚΗ,1,5.0,40.6012659,22.9537254
12,Papalexiou I. Tax - Advisory SWF,0,0.0,40.6007081,22.9536937
13,ΛΟΓΙΣΤΙΚΟ - ΦΟΡΟΤΕΧΝΙΚΟ ΓΡΑΦΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗ ΒΑΡΔΑΚΗΣ ΚΩΝ.,0,0.0,40.635839,22.9505264
14,ΦΕΙΔΙΑΡΗ ΦΩΤΕΙΝΗ Λογιστικό γραφείο,1,5.0,40.6156194,22.9677716
15,ΙΩΑΝΝΙΔΗΣ ΓΑΒΡΙΗΛ,1,3.0,40.6127522,22.9816288
16,Παπαδόπουλος Γιάννης,1,5.0,40.63317869999999,22.9385348
17,"Συλλογιστική, Λογιστικές & Ασφαλιστικές υπηρεσίες",8,5.0,40.6089469,22.9654454
18,ΣΟΛ α.ε. Ορκωτοί Λογιστές,3,4.7,40.6436408,22.9273673
19,Νικολαιδου Φωτεινη,0,0.0,40.6383261,22.9363141
30,"RATE Accounting & Business Consulting. Λογιστικές υπηρεσίες, σύμβουλοι επιχειρήσεων.",2,5.0,40.60693940000001,22.970527
31,Accounting-Tax Bureau George Georgiou Mont. IKE,1,5.0,40.6343101,22.9463322
34,ACCOUNTING OFFICE Potouridis,4,5.0,40.6380709,22.9366592
35,"Accounting & Tax Support ""Tsipi Anthi""",0,0.0,40.6356775,22.9388338
36,"Katerina Tsambas, Accounting office",6,5.0,40.6353566,22.947961
38,Λογιστικό Γραφείο Μουσταφά & Συνεργάτες,0,0.0,40.63317869999999,22.9385348
39,Μούσμουλα Αργυρή Λογιστικό – Φοροτεχνικό Γραφείο,0,0.0,40.6180798,22.978321
70,Link - Εκατός Κωνσταντίνος | Λογιστική - Συμβουλευτική Επιχειρήσεων,9,4.2,40.5910476,22.9668531
120,ΓΚΟΓΚΟΣ ΙΩΑΝΝΗΣ - ΛΟΓΙΣΤΙΚΟ - ΦΟΡΟΤΕΧΝΙΚΟ ΓΡΑΦΕΙΟ - ΘΕΣΣΑΛΟΝΙΚΗ,0,0.0,40.6387426,22.9359453
123,Phorologistikḗ,0,0.0,40.6176448,22.9629739
124,Ξεφτέρη Ελένη Λογιστικό Γραφείο,1,5.0,40.6379002,22.9365563
126,"Κωστόπουλος, Λογιστικό γραφείο, Σύμβουλος Επιχειρήσεων",2,5.0,40.6392696,22.9361633
127,"ΙΣΟΛΟΓΙΣΤΙΚΗ, Μ. ΖΕΧΕΡΛΗΣ & ΣΥΝΕΡΓΑΤΕΣ ΙΚΕ, ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ",5,5.0,40.634289,22.9370888
128,Λογιστικό Γραφείο Diekperaiono,70,5.0,40.61668909999999,22.9708649
129,ΘΩΜΑΣ ΠΑΠΑΜΙΛΤΙΑΔΗΣ-TOMTAX.GR,7,5.0,40.6372647,22.9371058
130,Diamantis Tax Λογιστικό Γραφείο,11,5.0,40.6411107,22.9336012
131,Apostolidis Nikolaos - ACCOUNTING OFFICE,3,3.0,40.6050159,22.9609034
135,Accounting Office Argiriou Panagiotis,5,5.0,40.602975,22.9533116
136,my Tax Friend: Λογιστικό Γραφείο Βλαδίμηρου Ι. Ίτσιου,2,5.0,40.634892,22.952868
137,Λογιστικό Γραφείο ΝΟΥΣΚΑΣ Κ. ΙΩΑΝΝΗΣ ‎ioannis@nouskas.com,3,5.0,40.652936,22.9263217
138,Λογιστής Θεσσαλονίκη - Αφοι Δ. Καμπανταΐδη,1,5.0,40.6410313,22.9340136
139,APOSTOLIDIS THOMAS,0,0.0,40.610124,22.9601779
154,ΜΠΟΥΛΟΥΡΗΣ ΕΥΣΤΡΑΤΙΟΣ,6,5.0,40.6044161,22.955401
157,Μιχ. Δρούγγος & Συνεργάτες,1,5.0,40.610539,22.967797
176,ΦΛΩΡΟΣ Κ. ΧΡΗΣΤΟΣ Λογιστικό Γραφείο / Γραφείο Κοινοχρήστων,6,5.0,40.61135669999999,22.9574208
214,AMOIRIDIS EVANGELOS - ACCOUNTING OFFICE,2,4.5,40.6008481,22.9621066
215,e-ΛΟΓΙΣΤΗΣ,1,5.0,40.6405732,22.9410639
220,Λογιστικό Γραφείο,0,0.0,40.6393293,22.9402979
226,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,3,5.0,40.621664,22.9653881
227,Λογιστικό Γραφείο | Αδειες Καταστημάτων | Εξωδικαστικός Μηχανισμός | Δουλούδης Παναγιώτης | logistis,4,5.0,40.6352912,22.9406963
228,Τυροθρουλάκης Εμμανουήλ Λογιστικό Γραφείο,5,3.4,40.6035853,22.9643164
229,Apex Λογιστικές Υπηρεσίες,5,5.0,40.6011302,22.9655731
231,PKP IKE - Λογιστική & επιχειρηματική υποστήριξη,24,5.0,40.637634,22.9344143
232,ORGANOSI,43,3.8,40.6046133,22.9562505
233,"Θεοδωρίδης Δημήτριος, Λογιστικό γραφείο",1,5.0,40.6353254,22.9433474
234,Λογιστικό γραφείο Θεσσαλονίκη,0,0.0,40.6383441,22.9369682
235,Λογιστικό Γραφείο A.A. Financial Services,6,5.0,40.6335832,22.9384981
237,Λογιστικό Γραφείο Θεσσαλονίκη,0,0.0,40.5850962,22.955072
239,TAXLIFE - Λογιστικό Γραφείο Α' Τάξης,0,0.0,40.6392329,22.9435293
