,name,user_ratings_total,rating,latitude,longitude
0,National Bank of Greece,21,2.6,40.6322658,22.9413797
1,Atticabank,9,4.4,40.5978433,22.9558612
2,ALPHA BANK,8,2.6,40.62773720000001,22.9484305
4,HSBC Bank,7,3.1,40.6349024,22.9389556
5,Alpha Bank,2,1.0,40.6398921,22.9361437
6,Piraeus Bank,15,2.2,40.6392926,22.9463764
8,Τράπεζα Αττικής,0,0.0,40.6372151,22.9364629
9,Black Sea Trade & Development Bank (Bstdb),2,4.5,40.6329315,22.9389921
10,Piraeus Bank E-Branch,17,4.1,40.630715,22.9457671
12,Pancreta Bank,4,4.8,40.633981,22.9392628
17,Τράπεζα Πειραιώς,1,5.0,40.608,22.9533
18,Eurobank,7,1.7,40.6340753,22.9409512
19,National Bank,7,3.3,40.6314528,22.9523253
32,Hellenic Bank,2,4.5,40.5911963,22.9582859
130,Attica Bank,4,4.0,40.6307899,22.9444594
159,Τράπεζα της Ελλάδος,7,4.7,40.6351789,22.9382821
212,Αlpha Bank,10,2.1,40.6023331,22.9652238
