,name,user_ratings_total,rating,latitude,longitude
0,ZIA insurance,1,5.0,40.6380549,22.9368126
1,Contract Thessaloniki,0,0.0,40.6297317,22.947281
2,Insurance Innovation,0,0.0,40.63383,22.939224
3,Aon,0,0.0,40.6354003,22.9358482
4,Generali Hellas Ασφαλιστική,22,3.0,40.6403036,22.9229104
5,IONIOS BROKERS,0,0.0,40.6361318,22.9352125
6,Ασφάλεια Υγείας,11,5.0,40.6352672,22.9423871
7,MetLife Alico,0,0.0,40.6017392,22.9639988
8,Glavopoulos Loss Adjusters Inc | Γκλαβόπουλος Πραγματογνώμονες,5,4.8,40.5963172,22.9562393
9,Interlife General Insurance Company S.A.,67,4.1,40.5405459,23.0293739
10,Port of Thessaloniki,254,4.5,40.63485439999999,22.9230442
11,Transfers Thessaloniki Airport,21,4.6,40.644559,22.928817
12,Aristotle University of Thessaloniki,306,4.3,40.6308283,22.9592224
13,Law School A.U.TH.,17,3.8,40.6310891,22.9566216
14,Thessaloniki Airport Makedonia,2117,3.6,40.5204227,22.9716758
44,ΑΣΦΑΛΕΙΕΣ ΑΝΑΓΝΩΣΤΟΥ ΘΕΣΣΑΛΟΝΙΚΗ ΙΚΕ - ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΘΕΣΣΑΛΟΝΙΚΗ,31,5.0,40.6339216,22.9388765
45,ΑΣΦΑΛΕΙΕΣ ΔΗΜΗΤΡΙΟΥ (DIMITRIOU INSURANCE),46,5.0,40.635639,22.953622
46,Kounis Grigoris,1,5.0,40.613036,22.9816534
47,Alfa Point S.A.,0,0.0,40.6361096,22.9365336
48,SOUGIOULTZIS DIMITRIOS,0,0.0,40.6331882,22.9679779
49,B&B ΕΙΔΙΚΕΣ ΑΣΦΑΛΙΣΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ,6,5.0,40.6352672,22.9423871
50,Support Brokers S.A.,0,0.0,40.6068766,22.9708257
51,Ασφαλιστής = ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,5,4.2,40.6340753,22.9409512
52,ΑσφαΛύσεις - Χάρης Ιατρόπουλος,0,0.0,40.6108962,22.9708344
53,ΑΜΠΑΤΖΟΓΛΟΥ ΑΘΑΝΑΣΙΟΣ,1,5.0,40.6333391,22.9392254
54,Κυριάκος Μερελής,0,0.0,40.6276314,22.9497444
55,Ασφάλειες Παρκοσίδη,1,5.0,40.6343629,22.9401407
56,"Zikoulis, Apostolos, & Co E.E.- ZIA INSURANCE",1,5.0,40.6380298,22.9367862
57,Vakali Asfaleies ΙΚΕ,3,5.0,40.6034506,22.9621104
58,ΣΟΥΓΙΟΥΛΤΖΗΣ ΔΗΜΗΤΡΙΟΣ,0,0.0,40.6121252,22.9533994
59,GKOULIOVAS EMMANOUIL,0,0.0,40.6113034,22.9608924
60,ΑΣΦΑΛΕΙΕΣ ΛΑΖΑΡΙΔΗ,0,0.0,40.6126355,22.9848398
61,ΚΕΝΤΡΑΣ ΦΩΤΗΣ,0,0.0,40.6138922,22.9761006
63,Assurellas Insurance Brokers,0,0.0,40.6367966,22.9389706
124,Ergo Life Insurance Co. S.A.,15,4.1,40.634384,22.9402089
125,Intersalonika Genikon Asfalisseon S.A.,58,4.0,40.6340813,22.9369444
126,ΔΕΣΜΟΣ - ΛΑΣΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ & ΣΙΑ Ε.Ε. - ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΘΕΣΣΑΛΟΝΙΚΗ,1,5.0,40.6324505,22.9504664
127,Εθνική Ασφαλιστική,3,2.3,40.634346,22.9385874
128,ΙΝΤΕΡΣΑΛΟΝΙΚΑ ΤΟΥΜΠΑΣ,66,4.0,40.6129007,22.9698
130,ΤΡΥΦΩΝΙΔΟΥ ΤΖΙΤΖΙΛΗ ΑΓΓΕΛΙΚΗ ΚΑΙ ΣΙΑ ΕΕ - ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΘΕΣΣΑΛΟΝΙΚΗ,6,4.8,40.6048209,22.9591246
131,The Insurance Market,9,3.3,40.6428603,22.9422171
132,ERGOVAS S.A Μεσίτες Ασφαλειών,29,4.6,40.597744,22.965168
133,ΖΑΪΡΗΣ Λ. ΠΕΤΡΟΣ- ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΘΕΣΣΑΛΟΝΙΚΗ,2,5.0,40.6287497,22.9530077
134,Ασφαλιστικά Γραφεία Νικολαΐδη Ασφαλιστικό Γραφείο Θεσσαλονίκη,1,5.0,40.62857,22.951385
135,ΕΘΝΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ - A Team Σύμβουλοι Ασφαλιστικών Υπηρεσιών,25,4.5,40.634608,22.9361819
136,Agrotiki Insurance S.A.,0,0.0,40.633885,22.941484
137,PERSONAL INSURANCE Α.Ε.Γ.Α. (Υποκατάστημα Θεσσαλονίκης),2,3.0,40.63054,22.944881
139,AXA Insurance S.A.,30,3.2,40.6431307,22.9318276
140,Tsimbiridis S.A.,2,4.0,40.6468376,22.9214955
142,INTERLIFE GENERAL INSURANCE CO. S.A.,5,3.2,40.5907499,22.9505702
143,EUROLIFE ERB GENERAL INSURANCE S.A.,29,2.9,40.63804349999999,22.9378331
