,name,user_ratings_total,rating,latitude,longitude
0,"DNP Law Offices - Lawyers, Attorneys - Greece-Thessaloniki-Serres",0,0.0,40.6369253,22.9356727
1,LYSIAS LAW FIRM - SPYROS KOTLITSAS AND ASSOCIATES,15,4.7,40.6400249,22.9327636
2,"LAW FIRM ""KONSTANDINIDIS & Associates""",0,0.0,40.6341294,22.9401134
3,Δάφνη Σιώπη Δικηγορικό Γραφείο,15,4.5,40.6322783,22.9450695
4,Olga Ketikidou Lawyer,0,0.0,40.6387509,22.9360488
5,ΓΕΩΡΓΙΟΣ ΑΡ. ΔΑΟΥΚΑΣ - ΔΙΚΗΓΟΡΟΣ ΘΕΣΣΑΛΟΝΙΚΗ,0,0.0,40.6370099,22.9384621
6,LAWYER,0,0.0,40.6005712,22.9608713
7,Lawyer Constantine VI. Alexiou,25,4.5,40.6361099,22.9365333
8,LAW OFFICE THEODOROU NASIOUDI -FOTEINIS POLYDOROU,12,5.0,40.64004,22.933273
9,RAFAILIDIS VASILIS - LAWYER - THESSALONIKI,6,4.8,40.6402702,22.9348857
10,Koliopoulos Alexander - Lawyer - Thessaloniki,0,0.0,40.6383204,22.9366979
11,Δικηγορικό Γραφείο Ζιώγα | Ziogas Law Office,0,0.0,40.6342962,22.9464447
12,Mavridis•Dimitriou Law Firm,1,5.0,40.633952,22.948175
13,Tzikas Naouma - Lawyer - Thessaloniki,2,3.0,40.6348012,22.9384475
14,BAΣΙΛΕΙΟΣ ΑΠΟΣΤΟΛΙΔΗΣ - Δικηγόρος - Θεσσαλονίκη,1,5.0,40.6370391,22.935492
15,Markou Panagiotis AND MARKOS - Lawyer - Thessaloniki,7,4.3,40.6386464,22.935163
16,Δικηγορικό Γραφείο - Anwaltskanzlei -Law Office -Ηλίας Παπαχρήστος & Συνεργάτες,0,0.0,40.6408977,22.9356452
17,Δικηγορικό γραφείο Θεόδωρος Σιδηρόπουλος,1,5.0,40.63317869999999,22.9385348
18,"Δημήτρης Μπαβέλης, Δικηγόρος-Ποινικολόγος/ Dimitris Bavelis, Attorney-at-law",0,0.0,40.6343621,22.9386773
19,B&M Law Office,3,5.0,40.6359615,22.9393956
25,"Law Office Νικολαϊδης, Μοσχόπουλος& Γκάλεβιτς Nikolaides Moschopoulos& Gkalevits",1,5.0,40.637001,22.940407
31,Ευαγγελία Ευαγγέλου,2,5.0,40.6367678,22.9380337
32,ΛΟΓΟΣ ΔΙΚΗΓΟΡΙΚΗ ΕΤΑΙΡΙΑ - ΑΝΤΩΝΟΠΟΥΛΟΣ & ΣΥΝΕΡΓΑΤΕΣ,0,0.0,40.6364948,22.9394851
36,Μαγουλά - Κεχαγιόγλου δικηγορικό γραφείο,1,5.0,40.6380549,22.9368126
37,Amoiridis Law Services,27,4.8,40.6411839,22.9349238
121,"ΔΙΚΗΓΟΡΟΣ ΘΕΟΔΩΡΑ ΘΑΝΑΣΟΥΛΗ.ΣΥΝΑΙΝΕΤΙΚΑ ΔΙΑΖΥΓΙΑ,ΔΙΑΤΡΟΦΕΣ,ΕΠΙΜΕΛΕΙΑ ΠΑΙΔΙΩΝ",5,5.0,40.6392696,22.9361633
125,ΑΡΓΥΡΩ Κ. ΧΡΥΣΟΓΕΛΟΥ - ΔΙΚΗΓΟΡΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ - ΠΟΙΝΙΚΟ - ΑΣΤΙΚΟ - ΟΙΚΟΓΕΝΕΙΑΚΟ ΔΙΚΑΙΟ - ΔΙΑΖΥΓΙΟ,5,5.0,40.639774,22.9316346
126,LAW FIRM CHARTOMATZIDOU MARIA-ΧΑΡΤΟΜΑΤΖΙΔΟΥ ΜΑΡΙΑ ΔΙΚΗΓΟΡΟΣ,33,5.0,40.6398365,22.9315668
128,Δικηγορικό Γραφείο Μιχαήλ Ζηδιανάκης & Συνεργάτες (Θεσσαλονίκη),29,5.0,40.637634,22.9344143
129,Δικηγόροι-Ποινικολόγοι Θεσσαλονίκη-Νικόλαος Βασιλείάδης,1,5.0,40.6372151,22.9364629
130,Δικηγορικό Γραφείο Αντζούρης & συνεργάτες - Νομικοί Σύμβουλοι,9,5.0,40.63443609999999,22.9410012
131,ΛΑΠΠΑ ΧΡΙΣΤΙΝΑ & ΣΥΝΕΡΓΑΤΕΣ ΔΙΚΗΓΟΡΙΚΟ ΓΡΑΦΕΙΟ,1,5.0,40.63380060000001,22.9372933
136,Δικηγορικό Γραφείο Γηράση,5,5.0,40.6354261,22.9415515
137,Δικηγόρος Θεσσαλονίκη Χειμωνίδου Κωνσταντίνα,6,5.0,40.6350842,22.9408935
138,ΔΙΚΗΓΟΡΟΣ ΘΕΣΣΑΛΟΝΙΚΗ ΚΑΣΑΠΙΔΟΥ,0,0.0,40.63850499999999,22.9359582
153,"MELEGRINOS EMMANUEL, LAWYER",1,5.0,40.6379471,22.9364364
156,Δικηγορικό Γραφείο Ζέρβας & Συνεργάτες,20,4.8,40.6350953,22.9432414
159,"Χρήστος Σταματίου, Δικηγόρος",0,0.0,40.6374538,22.9364364
169,Δικηγόροι Θεσσαλονίκης Διαζύγια Μεταφράσεις Ποινικολόγος Κληρονομικά Τροχαία Δικηγορικό Γραφείο,13,4.9,40.665722,22.929568
171,"ΚΟΝΤΟΓΙΩΡΓΟΣ Μιχαήλ, Δικηγόρος παρ' Αρείω Πάγω",6,3.3,40.6398247,22.9314584
173,Γεώργιος Φλόκας Δικηγόρος-Ποινικολόγος,1,2.0,40.631726,22.9426965
176,ΓΕΩΡΓΙΟΣ ΜΙΧΑΗΛ ΔΑΣΚΑΛΟΥ - ΔΙΚΗΓΟΡΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ - ΠΟΙΝΙΚΟ ΔΙΚΑΙΟ,0,0.0,40.6361862,22.9392218
201,Δικηγορικό Γραφείο Β. Καρταλτζή & Συνεργατών - Εργατολόγος | Θεσσαλονίκη,2,5.0,40.63850499999999,22.9359582
204,Κώστας Γ. Μαμέλης,0,0.0,40.637634,22.9344143
206,Nexus Law Firm,4,4.8,40.6354505,22.9378915
207,Εμμανουήλ Ν. Μελεγρίνος,0,0.0,40.63804349999999,22.9378331
209,Rhetor Law Firm (SKG),12,4.3,40.6346203,22.9378673
210,Law School A.U.TH.,17,3.8,40.6310891,22.9566216
211,Πιπερίδης - Μελέμη Δικηγορική Εταιρεία,0,0.0,40.63981649999999,22.9357435
212,Οικονομάκης Χρήστος Διεθνής Δικηγορική Εταιρεία Θεσσαλονίκη - Oikonomakis Christos Global Law Firm Thessaloniki,0,0.0,40.635067,22.9446533
213,E&K Law Firm | Δικηγορική εταιρία Θεσσαλονίκης,1,5.0,40.635138,22.938647
214,Κουμεντάκης & Συνεργάτες,1,5.0,40.6282744,22.9461302
217,LAW OFFICE DIMITRIOS NOUSKAS & ASSOCIATES,10,4.9,40.6377594,22.93723
218,ΤΖΟΥΜΑΙΛΗ δικηγορικό γραφείο Θεσσαλονίκη,34,4.9,40.6338943,22.9395144
233,Haralampos Hachalis & Partners,16,4.9,40.63168,22.9429187
239,Θάνος Κερασαρίδης,2,5.0,40.6400555,22.9364529
