,name,user_ratings_total,rating,latitude,longitude
0,Τριανταφυλλίδης Κωνσταντίνος Λογιστικό Γραφείο,1,5.0,41.138126,24.888522
1,CHARALAMPIDIS PAUL,2,5.0,41.1406749,24.8870728
2,Πυργελής Βασίλειος,0,0.0,41.1389162,24.8854296
3,Accounting Office Perperoglou,0,0.0,41.1376756,24.890084
4,ΜΑΝΑΒΑΚΗΣ Β. ΚΑΙ ΣΙΑ ΟΕ,1,5.0,41.138936,24.884413
5,ACCOUNTING OFFICE Eirini Felekidou,0,0.0,41.134922,24.889405
6,ΘΕΟΧΑΡΟΥΣ Π. ΜΑΡΙΟΣ - ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,5,5.0,41.1385864,24.8844404
7,Theocharis Theocharous - Accounting Office,0,0.0,41.137146,24.887611
8,ΜΕΤΣΟ ΧΑΣΑΝ ΟΙΚΟΝΟΜΟΛΟΓΟΣ,0,0.0,41.1392069,24.8890592
9,Παντελης Γρηγορη GES,4,4.0,41.1406749,24.8870728
10,Γρηγοριάδης Γρηγόριος,6,5.0,41.1360864,24.8856501
11,AGAKIDIS KYRIAKOS,6,4.8,41.1384097,24.8829749
12,BATZAKIDOU EIRINI PASCHALIDOU IOANNA O.E.,2,5.0,41.13735339999999,24.8892595
13,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΜΠΑΦΑΤΑΚΗΣ ΘΩΜΑΣ,4,5.0,41.1381481,24.8885586
14,Θ.ΣΙΤΑΣ-Σ.ΣΙΤΑ Ο.Ε,0,0.0,41.10141,24.861363
15,Φερίτ Ογλου Γιουλδεμ,3,5.0,40.98371150000001,24.7973993
16,Logistiko,0,0.0,38.0311438,23.7065153
17,"ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ""ΚΟΥΡΑΚ ΣΑΛΗ""",0,0.0,41.1394028,24.8897474
18,DESPINA MAKRI,0,0.0,38.917741,20.887494
19,Orthologismos S.A.,4,5.0,40.6413857,22.9330678
31,Λογιστικό Γραφείο Τσέκης Ευάγγελος-Τσέκη Παναγιώτα.,0,0.0,41.1359257,24.8900574
35,Accounting Office Koullaras Kontostoli M.-R.,0,0.0,40.9871491,24.7073041
37,ΤΟΥΜΠΑΝ ΕΡΤΖΑΝ,4,3.3,41.1243938,25.0656297
38,Economist / Accountant / Diplom Ökonom / Steuerberater - Mr. Matziris Christophoros,1,5.0,40.9833576,24.7057003
39,Σιδηρόπουλος Ιωάννης,0,0.0,40.984719,24.7081119
55,"ΑΛΜΠΑΝΟΠΟΥΛΟΣ Ν. & ΣΙΑ Ο.Ε. ""COMPUTER CONSULTING""",13,4.9,41.130223,24.8950319
152,ΒΛΑΧΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ- ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,1,5.0,41.1357951,24.8902671
153,"Balafoutis, Polychronis, S.A.",0,0.0,41.13689919999999,24.8888814
154,Καρδιολογικό ιατρείο Γκάμπρα Κομνηνού,2,5.0,41.136488,24.886103
155,ΤΣΕΚΗΣ ΚΥΡΙΑΚΟΣ,1,5.0,41.1389297,24.8829877
209,Lazaridis Valerios,0,0.0,41.1340355,24.8860839
218,Komninos George,0,0.0,41.1390229,24.8844308
219,Dontsos,7,4.7,41.1404664,24.8873351
225,XanthiTimes.gr,7,3.7,41.1285773,24.8888817
226,MIEL SINGLE MEMBER P.C.,0,0.0,41.13804409999999,24.8846648
227,ΦΜ Επιχειρείν,0,0.0,41.1388223,24.8914226
228,ΡΟΥΦΟΣ ΘΕΟΔΩΡΟΣ,0,0.0,41.134603,24.8899217
