,name,user_ratings_total,rating,latitude,longitude
0,Alpha Bank,8,2.9,41.1371761,24.8897942
1,Efg EuroBank Ergasias,8,2.5,41.1389047,24.8862155
2,Piraeus Bank,7,3.0,41.1392084,24.8891387
3,Hellenic Post Bank,1,5.0,41.13599370000001,24.8884383
4,National Bank,17,3.9,41.1362582,24.8861288
5,National Bank of Greece,3,3.0,41.140982,24.8877856
6,Attica Bank,2,5.0,41.1390846,24.8879527
7,ATM National Bank,0,0.0,41.139337,24.8893162
8,Τράπεζα Πειραιώς,0,0.0,41.1349342,24.8904308
9,Agence de Financement des Entreprises,0,0.0,48.8257228,2.3266264
10,Société Générale,17,3.1,48.8268165,2.3307496
12,LCL Banque et assurance,3,1.0,48.8234585,2.325374
14,Banque Populaire Rives de Paris,5,1.2,48.8327787,2.3244477
16,LCL Banque Privée,0,0.0,48.8275908,2.3257437
17,BNP Paribas,9,1.7,48.8260037,2.3414932
19,Crédit Agricole de Paris Général Leclerc,34,2.9,48.8276973,2.3271168
22,Caisse d'Epargne Paris Porte d'Orleans,12,1.7,48.8257191,2.3266342
23,Caisse d'Epargne Paris Auguste Blanqui,22,1.9,48.83106859999999,2.3424866
24,Crédit Agricole de Paris Denfert-Rochereau,23,3.0,48.8350735,2.3318423
25,BNP Paribas - Paris General Leclerc 14e,16,2.1,48.829505,2.32869
27,Caisse d'Epargne Paris General Leclerc,31,1.9,48.8303952,2.3286841
28,BNP Paribas - Paris Cite Internationale 14e,64,2.6,48.8190373,2.3382219
74,BNP Paribas - Paris Pernety 14e,2,1.0,48.8343849,2.3177745
75,Crédit Agricole Leasing & Factoring,2,3.0,48.8342709,2.3173532
121,National Bank | i-bank Store,2,3.0,41.1393269,24.8892619
123,Eurobank,1,1.0,41.138819,24.886029
125,ATM Piraeus Bank,0,0.0,41.1391399,24.8881937
128,ATM Τράπεζας Πειραιώς,10,4.0,41.1349421,24.8905665
