,name,user_ratings_total,rating,latitude,longitude
0,Kanzlei Dalidis / Dalidis Law Office,10.0,4.6,41.13917,24.885063
1,"KOURTIDIS, K., - F. MPORNARI LAWYER COMPANY",0.0,0.0,41.138155,24.8845622
2,LAW OFFICE - NATHANAILIDIS KONSTANTINOS,1.0,5.0,41.1381551,24.8845623
3,Δικηγορικό Γραφείο Καπζά Μουζαφέρ - Law Office,0.0,0.0,41.1396787,24.8869823
4,Ειρήνη Πυρνάρη Δικηγόρος,0.0,0.0,41.1388069,24.8857854
5,"KALAITZIS THEOLOGOS, LAWYER",0.0,0.0,41.13875,24.885803
6,Δικηγορικό Γραφείο | Πολυχρονιάδου Ν. Ελένης | Χατζηϊωαννίδου Μ. Λεμόνας,2.0,5.0,41.139076,24.885502
7,Δικηγορικό Γραφείο Γεωργίου Παυλίδη,2.0,5.0,41.1389957,24.8860716
8,Yunanistan Avukat адвокат ГЪРЦИЯ محامي يوناني lawyer Greece İhsan Ahmet Kehagi,6.0,4.7,41.138742,24.885685
9,Law Offices of Theodore Pavlidis and Marina Pavlidou,1.0,5.0,41.138705,24.885734
10,ΝΙΚΟΣ ΠΑΠΑΔΟΠΟΥΛΟΣ Δικηγόρος Διαμεσολαβητής,0.0,0.0,41.1367781,24.8793287
11,ΚΑΡΑΤΖΙΝΗ ΕΥΑΓΓΕΛΙΑ,0.0,0.0,41.1382121,24.8848435
12,Συμεωνίδου Καλλιόπη,3.0,5.0,41.1386683,24.887551
13,CHATZISTAMATIS A. - PARTSALIDOU D.,23.0,4.3,41.1381547,24.884562
14,Адвокатска кантора Феликс Ефимов,1.0,5.0,41.3791453,25.0862179
15,Lagopoulou - Malamidis & Partners,14.0,5.0,40.9385837,24.4105803
16,VELAKIS LAW FIRM,9.0,4.8,40.937226,24.4111232
17,Δέσποινα Μπουρουτζίδου - Καλακίκου & Συνεργάτες - Δικηγορικό Γραφείο,4.0,5.0,40.844911,25.8740234
18,Law Office Tantanozis Georgios and associates,3.0,4.7,41.0863388,23.5464487
19,Theodora Chatzipantelidou - Dimitrakis,0.0,0.0,40.6361182,22.9392905
20,International Chamber of Commerce,7.0,4.7,48.8639804,2.2919652
21,Solomon Taylor & Shaw,11.0,4.3,51.5560971,-0.1770165
22,Winterstein Rechtsanwälte,0.0,0.0,50.1130155,8.657299400000001
30,MinterEllison London,0.0,0.0,51.5114076,-0.0911067
34,Δικηγορικό Γραφείο Καβάλας Γιαγκουδάκης | Δικηγορος,53.0,4.9,40.93712379999999,24.4051994
36,Court of Arbitration for Sport,171.0,2.2,46.5229984,6.646072600000001
37,Δικηγορικό Γραφείο Ζέρβας & Συνεργάτες,20.0,4.8,40.6350953,22.9432414
124,адвокат ГЪРЦИЯ Пападопулос Αтанас,5.0,5.0,41.138478,24.887575
132,LAW OFFICE Georgios T. Karaseridis,4.0,5.0,41.1386738,24.8835693
135,Δικηγόροι,0.0,0.0,41.1391023,24.8855528
136,Dimitriadou Krystallia,0.0,0.0,41.1385541,24.8908539
155,ΠΑΥΛΙΔΗΣ ΠΕΤΡΟΣ,0.0,0.0,41.1378425,24.8878979
156,Μαρία Σαραλέκου,3.0,4.7,41.1388216,24.8846415
201,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΜΠΑΦΑΤΑΚΗΣ ΘΩΜΑΣ,4.0,5.0,41.1381481,24.8885586
202,Law Office Simeonidou Popi,1.0,5.0,41.13864969999999,24.8875979
203,Δικηγορικό Γραφείο-Κωνσταντίνος Ζαΐμης,10.0,5.0,41.1403127,24.8879701
208,XanthiTimes.gr,7.0,3.7,41.1285773,24.8888817
209,Xanthi,,,41.1362513,24.8877024
210,Δικηγορικό γραφείο Βασιλείου Ε. Πουρσανίδη,0.0,0.0,41.1397084,24.8905749
211,Chamber of Xanthi,2.0,4.5,41.14000060000001,24.887387
212,Μουφτεία Ξάνθης - İskeçe Müftülüğü,0.0,0.0,41.1398354,24.8914366
213,"Kosmidis, D., - P. Kosmidis O.E.",0.0,0.0,41.132241,24.895173
