,name,user_ratings_total,rating,latitude,longitude
0,Cretan Accounting,0,0.0,35.341094,25.1301914
1,Tzortzakis HELEN - ACCOUNTING OFFICE - HERAKLION CRETE,0,0.0,35.33490440000001,25.1287489
2,Ramoutsakis Ioannis - Accounting Office - Heraklion,0,0.0,35.3387183,25.1298982
3,Kalergis Lina - Accounting Office - Heraklion,0,0.0,35.3370505,25.1350536
4,Taxhorizon.club M.IKE,0,0.0,35.3374106,25.1421864
5,ΦΟΡΟΛΥΣΕΙΣ-ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ,1,5.0,35.3412458,25.1237496
6,"Tzedakis Nikolaos, ACCOUNTING SERVICES",5,5.0,35.3254532,25.1400227
7,FONIADAKIS Accounting - Business Services Single PC,0,0.0,35.3383866,25.1198912
8,Hatzivasilis CHRYSOULA - ACCOUNTING OFFICE,1,1.0,35.3251041,25.1470543
9,LAPIDAKIS ACCOUNTING • Λογιστικό Γραφείο • Λογιστές • Ηράκλειο,43,4.9,35.3156434,25.1384815
10,Priniotakis Nikolaos,2,5.0,35.3315644,25.1421099
11,Tsoukakis Accounting Services (ΤΣΟΥΚΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ),3,5.0,35.3396019,25.1574541
12,Business & financial solutions,0,0.0,35.3144195,25.1430961
13,Voyiatzakis Ang. Evangelos Accounting Office,38,5.0,35.3362778,25.1331782
14,ΚΟΥΜΠΑΝΑΚΗ ΕΥΑΓΓ. ΕΙΡΗΝΗ,0,0.0,35.319846,25.141315
15,Φοροτέχνη- Λογιστικό Γραφείο,1,5.0,35.33659400000001,25.120208
16,Διακάκης Financial Consulting Services,0,0.0,35.3367848,25.1431964
17,PKF ΕΥΡΩΕΛΕΓΚΤΙΚΗ Α.Ε.,0,0.0,35.3406746,25.1384125
18,Λογιστικό Γραφείο Σφίγγας Αντώνιος,0,0.0,35.3267836,25.1338288
19,Afmservice,0,0.0,35.3196354,25.1162249
39,Λογιστικό Γραφείο Ορέστης Κεφαλογιάννης,1,5.0,35.3363364,25.1320765
120,ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΘΕΟΔΟΣΟΥΛΗΣ Κ. ΣΤΑΥΡΟΣ,9,5.0,35.3373619,25.1327595
125,Χανιωτάκης Χρόνης,1,5.0,35.3377658,25.1391787
127,TaxMagic.gr Λογιστικό Γραφείο Κόλλια Γεωργία - Μαράκης Χριστόφορος,2,5.0,35.3370086,25.1353123
128,Μόκας Ν. Εμμανουήλ Λογιστικό Γραφείο,12,4.7,35.3375644,25.1220589
129,Konsolaki Calliope Accounting - Tax office,2,5.0,35.3351307,25.1345828
130,MELISSOURGAKIS DIMITRIOS TOU STAVROU,0,0.0,35.325753,25.1343483
134,Πρινιανάκης Γεώργιος,0,0.0,35.3360371,25.1337765
136,Tax Plan Λουλουδάκης - Λογιστικό Γραφείο,5,4.8,35.32636189999999,25.1038902
137,Βασιλειάδης Νίκος,0,0.0,35.3396722,25.1346119
138,ASKIANAKIS SOKRATIS,0,0.0,35.3227576,25.1281697
148,Accounting Office Nodarakis Kon Emmanuel,3,3.7,35.3165421,25.1404913
150,ΞΥΛΟΥΡΗΣ ΑΝΑΣΤΑΣΙΟΣ ΛΟΓΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΗΡΑΚΛΕΙΟ ΚΡΗΤΗΣ,0,0.0,35.3358224,25.1318654
152,ΛΑΜΠΡΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ,0,0.0,35.3359527,25.1328727
158,Λογιστικό Γραφείο Καγιάμης,1,5.0,35.3328246,25.1406645
202,"BLAVAKIS JOHN, TAX ACCOUNTING OFFICE",2,5.0,35.3356078,25.1344659
209,Accounting Office Tzedaki Nikolaos,3,5.0,35.3254532,25.1400227
217,Φοροεπίλυσις - Λογιστικό Γραφείο Βασιλάκης Ι. Εμμανουήλ & Συνεργάτες,9,4.6,35.3278613,25.1066175
223,Λογιστικό Γραφείο Ηράκλειο Κρήτης - Μαρία Παπαδάκη,36,5.0,35.3348122,25.129264
224,Μποτζάκης Λογιστικές Υπηρεσίες,11,4.7,35.3300627,25.1387974
225,Accounting Office DOUKOUMETZAKIS N. GEORGIOS,0,0.0,35.3358003,25.1344813
228,Λογιστικό Εργαστήρι,0,0.0,35.3302099,25.1332131
229,Mantzouranakis Emmanouil,0,0.0,35.338731,25.1482491
231,Μπαφάκη Αργυρώ - Λογιστικό γραφείο,0,0.0,35.3391461,25.1234934
233,Τσαγκαράκης Ευάγγελος | Λογιστικό - Φοροτεχνικό Γραφείο Ηράκλειο Κρήτη,1,5.0,35.3373183,25.115814
236,Cretan Market,2,5.0,35.3364793,25.1339496
237,Mavrakis Andreas,2,4.0,35.321818,25.152406
238,P Psalidakis N Spanakis O.E.,0,0.0,35.3278195,25.1411266
239,VASILAKIS EMMANOUIL,0,0.0,35.3366371,25.1529601
