,name,user_ratings_total,rating,latitude,longitude
0,Alpha Bank,4,3.5,35.3413906,25.1342455
1,Piraeus Bank,4,2.5,35.3379332,25.1336985
2,Pancretan Cooperative Bank L.L.C.,10,4.3,35.3378435,25.1375349
3,Alpha Bank - Άλφα Τράπεζα,4,4.0,35.3384811,25.1295482
4,ALPHA BANK,11,3.7,35.31585099999999,25.1466584
10,Παγκρήτια Συνεταιριστική Τράπεζα,2,4.0,35.3313913,25.1371112
11,Eurobank,7,3.7,35.3362855,25.1235347
14,"25th August & Koroneou, Athens",3,4.7,35.340702,25.1341009
16,Attica Bank,0,0.0,35.3382219,25.1334572
19,ATM ALPHA BANK,8,1.9,35.3383846,25.1580483
20,Société Générale,17,3.1,48.8268165,2.3307496
21,Agence de Financement des Entreprises,0,0.0,48.8257228,2.3266264
24,Caisse d'Epargne Paris Auguste Blanqui,22,1.9,48.83106859999999,2.3424866
25,Banque Populaire Rives de Paris,5,1.2,48.8327787,2.3244477
26,BNP Paribas,9,1.7,48.8260037,2.3414932
29,Crédit Agricole de Paris Général Leclerc,34,2.9,48.8276973,2.3271168
30,Caisse d'Epargne Paris Porte d'Orleans,12,1.7,48.8257191,2.3266342
31,Crédit Agricole de Paris Denfert-Rochereau,23,3.0,48.8350735,2.3318423
32,LCL Banque Privée,0,0.0,48.8275908,2.3257437
35,LCL Banque et assurance,3,1.0,48.8234585,2.325374
36,BNP Paribas - Paris General Leclerc 14e,16,2.1,48.829505,2.32869
37,Caisse d'Epargne Paris General Leclerc,31,1.9,48.8303952,2.3286841
125,Εθνική Τράπεζα της Ελλάδος,13,2.5,35.3374452,25.126426
127,National Bank,10,2.5,35.3371066,25.1345167
133,"Τράπεζα Χανίων, κατάστημα 25ης Αυγούστου",9,4.9,35.3414251,25.1342812
157,Pancreta Bank,3,2.3,35.31633850000001,25.1405807
159,Pankritia Bank,6,3.5,35.3142608,25.1484626
239,Συνεταιριστική Τράπεζα Χανίων,10,3.9,35.3143318,25.1480898
