,name,user_ratings_total,rating,latitude,longitude
0,ANDREADAKIS NEKTARIOS,0,0.0,35.3333017,25.1320268
1,MALAGARDIS INSURANCE - INSURANCE AGENCY - HERAKLION,1,5.0,35.3368466,25.1223155
2,"Vlachakis, J. K., S.A.",3,4.0,35.3275423,25.1064931
3,ΙΝΤΕΡΣΑΛΟΝΙΚΑ ΗΡΑΚΛΕΙΟΥ,7,4.6,35.3303901,25.1103495
4,InInsurance Ιωάννης Β. Νικηφόρος Ασφαλιστικοί Διαμεσολαβητές,0,0.0,35.3359608,25.1331029
5,ΣΤΕΦΑΝΑΚΗΣ ΜΙΧΑΗΛ,0,0.0,35.3333806,25.1148688
6,ΣΠΥΡΙΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,2,5.0,35.3385636,25.147321
7,ΧΑΝΙΩΤΑΚΗΣ ΝΙΚΟΣ ΚΑΙ ΣΥΝΕΡΓΑΤΕΣ - ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΗΡΑΚΛΕΙΟ ΚΡΗΤΗ,19,4.8,35.3145762,25.1462115
8,Interlife General Insurance Co. S.A.,7,4.9,35.3361279,25.142074
9,Praxis S.A.,1,5.0,35.3336416,25.1210703
10,Κουράκης Σπύρος Κατασκευαστική Μεσιτική Διαχειρηση ακινητων Save For Home,8,4.5,35.3355933,25.116265
11,LIONAKIS JOHN IKE - Insurance Services - Heraklion,33,4.8,35.3260375,25.1236532
12,Ασφαλιστικό γραφείο ΑΔΑΜΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,5,4.6,35.334398,25.1413092
13,Smart House Insurance & Real Estate,22,3.1,35.3327077,25.1401572
14,Τζανακάκης Ασφάλειες,1,5.0,35.3312094,25.1366117
15,Koutedakis Maria Insurance Agent,4,4.0,35.3337468,25.122639
16,PLATAKIS GEORGE,0,0.0,35.313691,25.1409443
17,BELADAKIS ANTONIOS,0,0.0,35.3365049,25.1332933
18,ΜΙΖΕΡΑΚΗΣ ΑΣΦΑΛΕΙΕΣ,0,0.0,35.3366686,25.1374458
19,Ασφάλειες Κρήτης,16,4.5,35.327878,25.106604
22,Minoan Insurance,0,0.0,35.3330283,25.1144178
23,Κατσουλάκης Μιχάλης,0,0.0,35.3349962,25.1185748
26,ΑΣΦΑΛΕΙΕΣ ΛΙΟΝΑΚΗΣ,0,0.0,35.3279367,25.1284229
27,Ασφάλειες Δημητριάδης & Συνεργάτες,6,4.0,35.3318958,25.1388763
29,Easy Cover,0,0.0,35.3362577,25.123964
33,ΑΣΦΑΛΕΙΕΣ ΣΤΑΦΥΛΑΚΗΣ,1,5.0,35.3385889,25.1386746
34,Saridakis George,1,5.0,35.3402138,25.123287
36,Λογιστικές - Φοροτεχνικές Υπηρεσίες ● Ασφάλειες - Ασφαλιστές Υπηρεσίες,0,0.0,35.3373183,25.115814
37,Ασφαλύσεις Μιχάλης & Γιώργος Τζανής,1,5.0,35.3240641,25.1205652
38,Zoakis Sylianos,0,0.0,35.337249,25.1333357
80,Oga,6,1.7,35.3383884,25.1241401
81,Εθνική Ασφαλιστική - Ματωνάκης Χαράλαμπος (my advisor),5,3.2,35.3367576,25.1361402
82,ETEAEP,0,0.0,35.3325534,25.140745
84,Red line Insurance services,3,5.0,35.3397419,25.1162361
85,Actus Pro,0,0.0,35.3367629,25.1389251
86,YDROGIOS INSURANCE & REINSURANCE S.A.,1,5.0,35.3296423,25.1380814
89,Praxis Brokers Ηράκλειο,1,5.0,35.3357849,25.119145
91,Groupama Φοίνιξ,10,4.2,35.3320618,25.1381596
92,AIOLOS SA,19,4.0,35.3396402,25.1169655
93,DIMITRIADI EVANTHIA,0,0.0,35.3281141,25.1281369
94,Exporters' Association of Crete,1,5.0,35.331454,25.1379985
95,Ασφαλιστικό πρακτορείο Σκουλά,2,5.0,35.336066,25.1328133
96,ERGO Ασφαλιστική Ηράκλειο,0,0.0,35.3367643,25.1391277
97,Social Insurance Istitute,74,2.7,35.3379052,25.1298495
99,DIALEKTAKI S.A.,4,4.8,35.3326363,25.1214206
102,Ασφάλειες Γιαχνάκης - Giachnakis Insurance Ηράκλειο Κρήτης,19,4.8,35.3312623,25.1446397
103,Παγκρήτια Ασφαλιστική Ηράκλειο Κρήτη,0,0.0,35.3392648,25.1345316
112,KOUTANTOS INSURANCE SERVICES,0,0.0,35.3405811,25.136181
113,Ασφάλειες Β.& Μ. Μανουράς,12,5.0,35.3278974,25.1115613
115,Ασφάλειες Αρνοπούλου Πολυτίμη,0,0.0,35.3114291,25.1495471
116,CHATZAKIS EMM INSURANCE OFFICE,1,5.0,35.3375347,25.1358242
119,Sofos A.E Insurance Agency - Ασφάλειες Σοφού Α.Ε. Ηρακλείου,0,0.0,35.330171,25.1406842
