,name,user_ratings_total,rating,latitude,longitude
0,ΛΙΟΝΑΚΗΣ ΓΕΩΡΓΙΟΣ - ΔΙΚΗΓΟΡΟΣ & ΣΥΝΕΡΓΑΤΕΣ,1,5.0,35.3385137,25.1339865
1,"Δικηγορικό Γραφείο, Μαρία Γ. Χαϊνάκη, - Law Office, Maria G. Chainaki",1,5.0,35.3385298,25.1337747
2,Δικηγορικό Γραφείο - Πρατικάκη Στ. Αικ. | Pratikaki Law Office,0,0.0,35.3394422,25.1318053
3,Maria Filippaki Law Office,1,5.0,35.3403346,25.1335989
4,THEMELIS T. IOANNIS - LAW ATTORNEY OFFICE,0,0.0,35.3394778,25.1346119
5,Δικηγορικό Γραφείο - Πέτρος Μαρκάκης & Συνεργάτες | Petros E. Markakis & Associates Law Office,21,5.0,35.3391694,25.1362379
6,"George Kountourakis, Lawyer",4,5.0,35.33604,25.133721
7,Law and Translation Office Androulakaki,33,4.4,35.3364574,25.1345682
8,Δικηγορικό Γραφείο Ν. Ε. Σωμαράκη,1,5.0,35.3393102,25.1328979
9,Δικηγόρος Πελαγία Κανακαράκη - Pelagia Kanakaraki Lawyer,0,0.0,35.3383544,25.134494
10,Δικηγορικό Γραφείο Κρουσταλάκη Ι. Μαρίας,3,5.0,35.3370884,25.1345817
11,Eleni Th.Karatsalidou,0,0.0,35.3367254,25.135372
12,Εμμανουήλ Κ. Πιταροκοίλης,0,0.0,35.3354833,25.1610859
13,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ - ΜΑΚΑΤΟΥΝΑΚΗ ΔΙΚΗΓΟΡΙΚΟ ΓΡΑΦΕΙΟ,0,0.0,35.3398958,25.1370621
14,Antikeimenikes-aksies.gr,2,5.0,35.327255,25.129641
15,Attorney at law Eleni Th.Karatsalidou-Δικηγορικό Γραφείο,0,0.0,35.336192,25.1345713
16,"Πικράκη Εύα, Δικηγόρος - Pikraki Eva, Lawyer",5,5.0,35.337366,25.1350977
17,Κατεχάκη Ελπίδα,1,5.0,35.3377245,25.1294035
18,Χουλιαρά Βιργινία-Ιωάννα,1,5.0,35.337366,25.1350977
19,ΤΙΤΟΜΙΧΕΛΑΚΗ ΚΑΛΛΙΟΠΗ - ΔΙΚΗΓΟΡΟΣ - ΔΙΑΜΕΣΟΛΑΒΗΤΡΙΑ - ΜΕΤΑΦΡΑΣΕΙΣ ΞΕΝΟΓΛΩΣΣΩΝ ΚΕΙΜΕΝΩΝ -GDPR,0,0.0,35.3347509,25.1347151
28,"ΓΕΩΡΓΙΟΣ ΜΠΑΦΑΚΗΣ ΔΙΚΗΓΟΡΙΚΗ ΕΤΑΙΡΕΙΑ, Bafakis Law Office",3,5.0,35.3372732,25.134684
124,Evangelos Stratoudakis,6,5.0,35.3388453,25.136049
128,Damianakis Law Office,11,5.0,35.33671,25.136366
130,Δικηγόρος Τυμπακιανακη Ιωάννα,0,0.0,35.3387979,25.1340355
131,Δικηγορικό γραφείο Μαρίας Εμμανουέλας Μαρκετάκη,3,5.0,35.3372709,25.1359766
133,"ΔΙΚΗΓΟΡΙΚΟ ΓΡΑΦΕΙΟ, Σ. ΝΗΣΙΩΤΗ – Ε. ΓΡΗΓΟΡΑΚΗ & ΣΥΝΕΡΓΑΤΕΣ | LAW OFFICE, S. NISIOTI – E. GRIGORAKI & PARTNERS",0,0.0,35.3384264,25.1354969
138,ΔΙΚΗΓΟΡΟΣ ΗΡΑΚΛΕΙΟ ΚΡΗΤΗΣ,0,0.0,35.3377014,25.1368221
139,ΔΙΚΗΓΟΡΙΚΟ ΓΡΑΦΕΙΟ ΕΛΠΙΔΑ ΣΤ. ΜΑΝΟΥΡΑ,1,5.0,35.338178,25.1351882
201,Bitzarakis Michael,1,5.0,35.3368734,25.1358381
202,Στειακάκης Γεώργιος & Συνεργάτες,3,4.0,35.3388586,25.1355623
208,Karampini Law Office,0,0.0,35.338339,25.1359691
209,"δικηγορικό γραφείο Σόφια Ρουκουνάκη, Pancreta Law, Law Firm, ηράκλειο κρήτης",2,5.0,35.3352197,25.1333259
211,Law Firm Kefalogiannis - Marazakis,0,0.0,35.34050939999999,25.1361778
212,ΕΠΙΤΡΟΠΑΚΗ ΚΟΚΟΤΣΑΚΗ ΔΙΚΗΓΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,0,0.0,35.3390549,25.135331
213,Δικηγορικό γραφείο-Ελένη Θ. Καρατσαλίδου & Συνεργάτες,1,5.0,35.3362049,25.1345818
215,ΜΟΥΤΣΕΛΑΚΗΣ ΔΗΜΗΤΡΗΣ & ΣΥΝΕΡΓΑΤΕΣ,2,5.0,35.3362236,25.1345103
218,Savvopoulos Dimitrios & Savvopoulos Emmanuel,4,5.0,35.3362097,25.1348509
219,Law Firm Kostantoudakis,0,0.0,35.3398952,25.1317638
